Horizon,Model,Mean Return (%),Total Return (%),Std Return (%),Median Return (%),Mean Sharpe,Mean Accuracy (%),Mean F1 Score,Positive Windows,Negative Windows,Total Windows
14day,random_forest,9.917089773628241,149.7806421385942,22.257566888143053,2.632217737482212,0.9193921856057433,52.77777777777778,0.5900493733292042,6,6,12
14day,ensemble_traditional,9.902540182379747,149.5066887256742,22.225387036148994,2.632217737482212,0.9184344944076392,50.55555555555556,0.5560762910105982,6,6,12
14day,lightgbm,9.902540182379747,149.5066887256742,22.225387036148994,2.632217737482212,0.9184344944076392,49.166666666666664,0.544010284557429,6,6,12
14day,xgboost,9.810267380626257,146.65530475250432,22.281444984508333,2.632217737482212,0.9036004994638981,50.41666666666668,0.559253401671589,6,6,12
14day,transformer,9.822491861361097,146.22673882426304,22.405446117886477,2.632217737482212,0.9027401391548758,52.916666666666664,0.5176129655370006,6,6,12
14day,lstm,9.749213781053363,144.4210651027984,22.36620810592636,2.632217737482212,0.8927531557515868,53.19444444444444,0.5401245658324078,6,6,12
14day,buy_and_hold,9.644538965220239,133.48897488255832,24.034373947413474,2.7707555131392003,0.877407905635413,50.0,0.5,6,6,12
14day,transformer_60day,5.47219650399674,81.98410371296178,8.885483483271964,3.212122681354601,2.1834652161161485,74.01960784313727,0.6791035353535354,8,2,12
14day,lstm_60day,5.48164944920559,80.94980577014495,9.520472400627206,5.587991978231299,2.268367765534687,56.86274509803921,0.6296652563648176,8,3,12
1day,buy_and_hold,9.644538965220239,133.48897488255832,24.034373947413474,2.7707555131392003,0.877407905635413,50.0,0.5,6,6,12
1day,ensemble_traditional,9.356069537470331,129.883193213186,23.208588142415536,2.632217737482212,0.8181506221823674,54.166666666666664,0.5461147279636674,6,6,12
1day,random_forest,9.30870481931558,128.50476204284388,23.238828783073494,2.632217737482212,0.8055839973218815,51.24999999999999,0.5217188718102249,6,6,12
1day,transformer,8.945548526552694,121.46124209552234,22.781761148829034,0.7531291731985523,0.7824081042572391,53.61111111111111,0.5499085111533882,6,6,12
1day,lstm,9.002915723635159,121.42427168726914,22.999530324918208,3.0938942222437094,0.7785634495035266,52.361111111111114,0.5232162882908351,6,6,12
1day,lightgbm,8.804267043820246,115.2715792375826,23.391035870081744,-0.17642782394508005,0.7790588169860596,53.333333333333336,0.5386554478278679,6,6,12
1day,xgboost,7.689900003214454,95.88247085615316,21.686090706494568,-0.17642782394508005,0.6835567742426231,51.11111111111112,0.5169330661004555,6,6,12
1day,lstm_60day,2.305063246106731,24.12186762455537,10.583892498297201,0.0,0.3825897600584481,50.0,0.3425834431269214,3,3,12
1day,transformer_60day,-2.042643471627295,-23.388891528005328,5.321963469790553,0.0,-0.412497849197402,46.11111111111112,0.3225431396008969,2,4,12
28day,random_forest,10.162860724563473,158.10742888552375,22.015752886650557,2.6241590581600693,0.9934083779306762,56.94444444444445,0.5825084077285636,6,6,12
