Horizon,Model,Mean Return (%),Total Return (%),Std Return (%),Median Return (%),Mean Sharpe,Mean Accuracy (%),Mean F1 Score,Positive Windows,Negative Windows,Total Windows
14day,random_forest,16.886516198750787,1599.1249969053683,48.18634592571425,0.25472592312089093,0.7664380215768954,52.88194444444444,0.5523150700644375,16,16,32
14day,ensemble_traditional,16.865187439200273,1365.6918387548114,48.71874076333344,-1.483385387870939,0.7511174655480941,52.3611111111111,0.5469632321021319,15,17,32
14day,xgboost,16.484919697683743,1194.989030058533,48.82612321575522,1.8057639294517536,0.7469482256483144,52.56944444444444,0.5490827922930908,16,16,32
14day,lightgbm,16.49432066952606,1165.6448442266144,49.05062641098161,-2.171561530402122,0.7239910564224796,51.52777777777777,0.5311445824237592,15,17,32
14day,lstm,14.909818954519272,981.6038829967015,43.47932024427075,1.7844333154922565,0.7010274010122062,52.222222222222214,0.5518941239448993,16,16,32
14day,transformer,15.186353427059608,760.0011700992738,48.90912422470747,1.7844333154922565,0.6853526921361945,50.55555555555556,0.5363716619040206,16,16,32
14day,buy_and_hold,15.596241525019616,574.5173903297381,52.51214542398935,-1.4328652063905212,0.7119397508076333,50.0,0.5,16,16,32
1day,random_forest,14.767134706809895,710.5618602100637,47.373959166608984,-0.46162373394616485,0.6663077465790613,50.902777777777786,0.5473626240532807,16,16,32
1day,ensemble_traditional,14.475926853800194,654.7654329462416,47.11188699625152,-0.46162373394616485,0.6577343945842535,51.979166666666664,0.5407751951894647,16,16,32
1day,xgboost,14.475926853800194,654.7654329462416,47.11188699625152,-0.46162373394616485,0.6577343945842535,51.28472222222222,0.5269602223599539,16,16,32
1day,lstm,14.613405147265022,632.0372527693734,48.21769446077924,-1.361221946070984,0.6444440272107633,50.59027777777778,0.5277481637278145,16,16,32
1day,transformer,14.861257508500275,616.5429437539304,49.47959765713206,-0.02788419874944492,0.6586765747841978,50.48611111111111,0.5131051079678777,16,16,32
1day,buy_and_hold,15.596241525019616,574.5173903297381,52.51214542398935,-1.4328652063905212,0.7119397508076333,50.0,0.5,16,16,32
1day,lightgbm,14.105547690775586,554.5891570251924,47.33750423477077,-0.4287829561720635,0.627655182269033,52.43055555555556,0.5427928216668988,16,16,32
28day,xgboost,16.556698920671025,1165.8494292472824,49.28417981024328,1.0084448577031224,0.7442690542109195,49.89583333333333,0.5176943671470196,16,16,32
28day,lightgbm,15.900620787865044,1041.5442741687837,48.61731581924719,1.250621592094897,0.7220809924565841,50.72916666666667,0.530674048029696,16,16,32
28day,ensemble_traditional,16.059122875662435,1008.7493584574014,49.243745182846844,1.1268896958932129,0.7268231783433168,49.61805555555555,0.5188570824460881,16,16,32
28day,random_forest,14.973910195100402,779.7636819218567,48.62396373721331,1.3448910073990294,0.6662504124817203,49.861111111111114,0.5217886437457911,16,16,32
28day,lstm,15.042607924035517,720.375039266117,49.28758730298633,-0.8184104085598054,0.6506448789403222,48.71527777777778,0.5095257056092917,16,16,32
28day,transformer,14.959971914153291,712.727721706788,49.11463714564309,-1.8710055619187205,0.6776092537839474,49.375,0.536203360530985,15,17,32
28day,buy_and_hold,15.596241525019616,574.5173903297381,52.51214542398935,-1.4328652063905212,0.7119397508076333,50.0,0.5,16,16,32
60day,random_forest,15.879360468312163,1244.7752645034298,46.48911629229725,-2.399971407624885,0.686535697518024,43.71527777777778,0.41588678298377035,15,17,32
60day,xgboost,16.05499651785196,1182.6788817959161,48.76525322626512,-0.5698105495159977,0.6974270148819814,45.173611111111114,0.44810208959724307,16,16,32
60day,transformer,15.531366890488938,965.0961881083534,47.296247545263775,2.2186612038794684,0.6668815006825441,46.28472222222222,0.44450667254671616,17,15,32
60day,ensemble_traditional,14.866422336931361,705.3164069727668,49.38779335507881,-2.466240046103052,0.620278078741584,43.68055555555556,0.4309616976548262,14,18,32
60day,lstm,14.758584048880252,704.3533095803739,47.87322068361349,-2.071237087359723,0.6219553930888122,44.375,0.4239609364224475,15,17,32
60day,buy_and_hold,15.596241525019616,574.5173903297381,52.51214542398935,-1.4328652063905212,0.7119397508076333,50.0,0.5,16,16,32
60day,lightgbm,14.265460191791746,571.8901690314841,49.44274357711231,-4.278385071484248,0.5647402926786953,43.47222222222222,0.4258232082603808,15,17,32
7day,transformer,15.888949766244115,950.3313139410081,49.262846892672556,0.7846670858939031,0.7094387468683531,50.90277777777777,0.5463251828488406,16,16,32
7day,ensemble_traditional,15.65204248948585,911.6458169451723,49.11775427070843,0.10262411762489987,0.6902531001248186,52.43055555555556,0.5540510341647138,16,16,32
7day,xgboost,15.655611845654535,909.8622784348588,49.12711636041959,0.10262411762489987,0.6957551863030249,51.66666666666666,0.5464393411661506,16,16,32
7day,random_forest,15.492687427709557,829.3894961433809,49.05931117245899,1.7340145118343364,0.6852746210225558,51.145833333333336,0.5435683485542573,16,16,32
7day,lstm,15.19968431979084,808.9312699523513,47.99939308053755,3.624622585548276,0.6808546821585731,49.236111111111114,0.5063643263133799,17,15,32
7day,lightgbm,15.339976004843333,748.9490595085739,49.497271649585244,-0.029230069090979693,0.6771388695295345,51.145833333333336,0.543952523911263,16,16,32
7day,buy_and_hold,15.596241525019616,574.5173903297381,52.51214542398935,-1.4328652063905212,0.7119397508076333,50.0,0.5,16,16,32
